Time,signal,IKK,IKKa,NFkB,NFkBa,IkB,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
60.015204,0.60015204,0.881334,0.118666,0.991745,0.008255,0.003431,0.000329,4.075216,0.816217,3.256093,0.00039,0.000683,0.000003,0.000518,3.491424,0.067502,3.55877
60.885991,0.60885991,0.875688,0.124312,0.991252,0.008748,0.003577,0.000327,4.070362,0.853334,3.325158,0.00039,0.000715,0.000004,0.000519,3.491424,0.071536,3.562781
62.073947,0.62073947,0.867061,0.132939,0.990531,0.009469,0.003812,0.000325,4.062846,0.909715,3.42422,0.000389,0.000765,0.000004,0.000519,3.491424,0.07743,3.568634
62.933682,0.62933682,0.859975,0.140025,0.989971,0.010029,0.004017,0.000323,4.056581,0.95572,3.500265,0.000389,0.000805,0.000004,0.000519,3.491424,0.08201,3.573175
64.050793,0.64050793,0.849344,0.150656,0.989188,0.010812,0.004341,0.000321,4.047024,1.024206,3.606278,0.000389,0.000866,0.000005,0.000519,3.491424,0.088414,3.579512
64.985185,0.64985185,0.838744,0.161256,0.988477,0.011523,0.004681,0.000318,4.037299,1.09185,3.7034,0.000389,0.000927,0.000005,0.000519,3.491424,0.094231,3.585248
65.974582,0.65974582,0.824967,0.175033,0.987656,0.012344,0.005143,0.000314,4.024359,1.178777,3.818442,0.000389,0.001006,0.000005,0.000519,3.491424,0.100944,3.591833
67.03884,0.6703884,0.805234,0.194766,0.986673,0.013327,0.005821,0.000309,4.005206,1.301261,3.964489,0.000389,0.001119,0.000006,0.000519,3.491424,0.108978,3.599642
68.008978,0.68008978,0.778394,0.221606,0.985652,0.014348,0.006721,0.000302,3.977917,1.46383,4.134364,0.000388,0.001272,0.000007,0.000519,3.491424,0.117328,3.607614
69.016323,0.69016323,0.726687,0.273313,0.98438,0.01562,0.008238,0.000288,3.920887,1.762805,4.39277,0.000388,0.001569,0.000009,0.000519,3.491424,0.127729,3.617145
69.996832,0.69996832,0.58946,0.41054,0.982668,0.017332,0.011233,0.000247,3.733312,2.445747,4.824773,0.000388,0.002355,0.000013,0.000519,3.491424,0.14173,3.628474
71.00311,0.7100311,0.353483,0.646517,0.979695,0.020305,0.020206,0.000164,3.193261,3.033018,5.196267,0.000387,0.003704,0.000023,0.000519,3.491424,0.166042,3.642406
72.009907,0.72009907,0.320328,0.679672,0.976002,0.023998,0.045016,0.000151,3.078136,3.022484,5.230445,0.000386,0.003889,0.000053,0.000519,3.491424,0.19624,3.652082
73.003601,0.73003601,0.313218,0.686782,0.97233,0.02767,0.09298,0.000148,3.051509,3.016083,5.2374,0.000386,0.003924,0.00011,0.000519,3.491424,0.226269,3.656162
74.002265,0.74002265,0.306923,0.693077,0.968682,0.031318,0.168392,0.000146,3.027313,3.009115,5.243453,0.000385,0.003955,0.000202,0.000519,3.491424,0.256097,3.65788
75.016347,0.75016347,0.300948,0.699052,0.965061,0.034939,0.27392,0.000143,3.003787,3.00134,5.24911,0.000384,0.003984,0.000332,0.000519,3.491424,0.285709,3.658696
75.964061,0.75964061,0.295694,0.704306,0.961787,0.038213,0.398719,0.000141,2.982624,2.993543,5.254016,0.000383,0.004009,0.000486,0.000519,3.491424,0.312483,3.659104
77.105783,0.77105783,0.289732,0.710268,0.95803,0.04197,0.581585,0.000139,2.958067,2.983584,5.259504,0.000383,0.004037,0.000713,0.000519,3.491424,0.343208,3.659386
77.955704,0.77955704,0.285527,0.714473,0.955395,0.044605,0.739716,0.000137,2.940383,2.975833,5.263327,0.000382,0.004057,0.00091,0.000519,3.491424,0.364756,3.659517
79.046283,0.79046283,0.280392,0.719608,0.952252,0.047748,0.968349,0.000135,2.918367,2.965531,5.267943,0.000381,0.004081,0.001196,0.000519,3.491424,0.390451,3.659631
80.00379,0.8000379,0.276102,0.723898,0.949744,0.050256,1.191095,0.000133,2.899609,2.956206,5.271755,0.000381,0.004102,0.001475,0.000519,3.491424,0.41096,3.6597
80.900589,0.80900589,0.272252,0.727748,0.947631,0.052369,1.416607,0.000131,2.882486,2.94727,5.275142,0.00038,0.00412,0.001758,0.000519,3.491424,0.428244,3.659748
81.797388,0.81797388,0.268551,0.731449,0.945764,0.054236,1.656688,0.00013,2.865762,2.938167,5.278368,0.00038,0.004138,0.00206,0.000519,3.491424,0.443513,3.659784
83.044776,0.83044776,0.263632,0.736368,0.943606,0.056394,2.011338,0.000128,2.843117,2.925268,5.282612,0.000379,0.004162,0.002505,0.000519,3.491424,0.46116,3.659822
83.876368,0.83876368,0.260488,0.739512,0.942466,0.057534,2.258801,0.000126,2.828391,2.91654,5.285299,0.000379,0.004178,0.002816,0.000519,3.491424,0.470477,3.659842
85.127119,0.85127119,0.255946,0.744054,0.941224,0.058776,2.643428,0.000124,2.806759,2.903253,5.289145,0.000379,0.004202,0.003299,0.000519,3.491424,0.480635,3.659865
85.965436,0.85965436,0.253019,0.746981,0.940717,0.059283,2.90703,0.000123,2.792588,2.894256,5.291601,0.000379,0.004218,0.00363,0.000519,3.491424,0.484783,3.659877
86.803754,0.86803754,0.25018,0.74982,0.940475,0.059525,3.173192,0.000122,2.778664,2.885199,5.293969,0.000379,0.004233,0.003963,0.000519,3.491424,0.486763,3.659887
88.153121,0.88153121,0.24578,0.75422,0.940644,0.059356,3.602384,0.00012,2.756742,2.870517,5.297605,0.000379,0.004258,0.004498,0.000519,3.491424,0.485377,3.659901
89.175221,0.89175221,0.242579,0.757421,0.941228,0.058772,3.924115,0.000119,2.740515,2.859328,5.300227,0.000379,0.004277,0.004897,0.000519,3.491424,0.480604,3.659909
90.197321,0.90197321,0.239483,0.760517,0.942195,0.057805,4.239348,0.000117,2.724597,2.848094,5.302745,0.000379,0.004297,0.005287,0.000519,3.491424,0.472691,3.659916
91.21942,0.9121942,0.236485,0.763515,0.943534,0.056466,4.544924,0.000116,2.708971,2.836828,5.305165,0.000379,0.004316,0.005662,0.000519,3.491424,0.461743,3.659921
92.24152,0.9224152,0.23358,0.76642,0.945227,0.054773,4.837813,0.000115,2.693623,2.825539,5.307495,0.00038,0.004335,0.006018,0.000519,3.491424,0.4479,3.659926
92.75257,0.9275257,0.232161,0.767839,0.9462,0.0538,4.978594,0.000114,2.68605,2.819889,5.308627,0.00038,0.004345,0.006188,0.000519,3.491424,0.439946,3.659928
93.77467,0.9377467,0.229386,0.770614,0.948382,0.051618,5.247127,0.000113,2.671096,2.808581,5.310831,0.00038,0.004364,0.006508,0.000519,3.491424,0.422101,3.659932
94.79677,0.9479677,0.226692,0.773308,0.950857,0.049143,5.496174,0.000112,2.65639,2.797272,5.312957,0.000381,0.004383,0.006799,0.000519,3.491424,0.401864,3.659935
95.81887,0.9581887,0.224074,0.775926,0.953593,0.046407,5.723418,0.000111,2.641922,2.785966,5.315011,0.000382,0.004403,0.007058,0.000519,3.491424,0.379491,3.659938
96.840969,0.96840969,0.221529,0.778471,0.956555,0.043445,5.926824,0.00011,2.627682,2.77467,5.316995,0.000382,0.004422,0.007281,0.000519,3.491424,0.355271,3.65994
97.863069,0.97863069,0.219052,0.780948,0.959704,0.040296,6.10466,0.000108,2.61366,2.763389,5.318916,0.000383,0.004442,0.007465,0.000519,3.491424,0.329518,3.659941
98.885169,0.98885169,0.216641,0.783359,0.962999,0.037001,6.255535,0.000107,2.59985,2.752129,5.320775,0.000384,0.004461,0.007605,0.000519,3.491424,0.302575,3.659943
99.919928,0.99919928,0.214263,0.785737,0.966436,0.033564,6.379761,0.000106,2.586075,2.740755,5.322598,0.000384,0.00448,0.007701,0.000519,3.491424,0.274463,3.659944
100.967345,1.00967345,0.211919,0.788081,0.96997,0.03003,6.475614,0.000105,2.572336,2.72927,5.324386,0.000385,0.004499,0.007747,0.000519,3.491424,0.245568,3.659945
102.014763,1.02014763,0.209634,0.790366,0.973503,0.026497,6.541164,0.000104,2.558796,2.71782,5.32612,0.000386,0.004518,0.007739,0.000519,3.491424,0.21668,3.659945
102.871474,1.02871474,0.207808,0.792192,0.97635,0.02365,6.572415,0.000103,2.547863,2.708482,5.327499,0.000386,0.004533,0.007688,0.000519,3.491424,0.193396,3.659946
104.15654,1.0415654,0.205137,0.794863,0.98047,0.01953,6.582532,0.000102,2.531696,2.694525,5.329507,0.000387,0.004556,0.007533,0.000519,3.491424,0.159706,3.659946
105.013251,1.05013251,0.2034,0.7966,0.983062,0.016938,6.565813,0.000102,2.521069,2.685256,5.330806,0.000388,0.00457,0.007373,0.000519,3.491424,0.13851,3.659946
106.0271,1.060271,0.201387,0.798613,0.985907,0.014093,6.523404,0.000101,2.508642,2.674325,5.332304,0.000389,0.004586,0.007123,0.000519,3.491424,0.115243,3.659945
106.865032,1.06865032,0.199759,0.800241,0.988032,0.011968,6.471352,0.0001,2.498491,2.665325,5.333512,0.000389,0.004599,0.006866,0.000519,3.491424,0.097869,3.659945
108.068179,1.08068179,0.197472,0.802528,0.990646,0.009354,6.373034,0.000099,2.4841,2.652456,5.335201,0.00039,0.004616,0.006423,0.000519,3.491424,0.076494,3.659944
108.992016,1.08992016,0.195756,0.804244,0.992254,0.007746,6.281712,0.000098,2.473193,2.64262,5.336462,0.00039,0.004629,0.006044,0.000518,3.491424,0.063339,3.659943
